"","genenames"
"667","ST6GALNAC3"
"668","PIGK"
"669","AK5"
"670","ZZZ3"
"671","USP33"
"672","FAM73A"
"673","NEXN"
"674","FUBP1"
"675","DNAJB4"
"676","GIPC2"
"677","RP11-386I14.4"
"678","IFI44L"
"679","IFI44"
"680","RP5-887A10.1"
"681","RP11-475O6.1"
"682","TTLL7"
"683","RP11-486G15.2"
"684","PRKACB"
"685","SAMD13"
"686","RPF1"
"687","GNG5"
"688","CTBS"
"689","SSX2IP"
"690","MCOLN2"
"691","MCOLN3"
"692","SYDE2"
"693","C1orf52"
"694","BCL10"
"695","RP11-131L23.1"
"696","DDAH1"
"697","ZNHIT6"
"698","COL24A1"
"699","ODF2L"
"700","RP4-612B15.3"
"701","SH3GLB1"
"702","SEP15"
"703","HS2ST1"
"704","LMO4"
"705","PKN2"
"706","GTF2B"
"707","CCBL2"
"708","RBMXL1"
"709","GBP3"
"710","GBP1"
"711","GBP2"
"712","GBP4"
"713","GBP5"
"714","LRRC8B"
"715","FLJ27354"
"716","LRRC8C"
"717","RP5-943J3.2"
"718","LRRC8D"
"719","ZNF326"
"720","RP4-665J23.1"
"721","ZNF644"
"722","HFM1"
"723","CDC7"
"724","TGFBR3"
"725","EPHX4"
"726","BTBD8"
"727","KIAA1107"
"728","GLMN"
"729","RPAP2"
"730","GFI1"
"731","EVI5"
"732","RPL5"
"733","FAM69A"
"734","MTF2"
"735","TMED5"
"736","CCDC18"
"737","DR1"
"738","FNBP1L"
"739","BCAR3"
"740","RP4-561L24.3"
"741","DNTTIP2"
"742","GCLM"
"743","ARHGAP29"
"744","ABCD3"
"745","F3"
"746","CNN3"
"747","RP4-639F20.1"
"748","ALG14"
"749","TMEM56"
"750","TMEM56-RWDD3"
"751","RWDD3"
"752","PTBP2"
"753","DPYD"
"754","SNX7"
"755","FRRS1"
"756","AGL"
"757","RP5-884G6.2"
"758","SLC35A3"
"759","MFSD14A"
"760","SASS6"
"761","TRMT13"
"762","LRRC39"
"763","DBT"
"764","RTCA-AS1"
"765","RTCA"
"766","CDC14A"
"767","EXTL2"
"768","RP4-549L20.3"
"769","SLC30A7"
"770","DPH5"
"771","RP11-421L21.2"
"772","RP11-421L21.3"
"773","RP4-575N6.4"
"774","S1PR1"
"775","RNPC3"
"776","AMY2B"
"777","PRMT6"
"778","NTNG1"
"779","VAV3"
"780","VAV3-AS1"
"781","RP11-356N1.2"
"782","SLC25A24"
"783","RP11-483I13.5"
"784","FAM102B"
"785","HENMT1"
"786","PRPF38B"
"787","STXBP3"
"788","RP11-475E11.9"
"789","GPSM2"
"790","CLCC1"
"791","WDR47"
"792","TAF13"
"793","RP5-1065J22.8"
"794","TMEM167B"
"795","SCARNA2"
"796","KIAA1324"
"797","SARS"
"798","CELSR2"
"799","PSRC1"
"800","SORT1"
"801","PSMA5"
"802","ATXN7L2"
"803","CYB561D1"
"804","AMIGO1"
"805","GNAI3"
"806","AMPD2"
"807","GSTM4"
"808","GSTM2"
"809","GSTM3"
"810","CSF1"
"811","AHCYL1"
"812","STRIP1"
"813","RP4-773N10.4"
"814","KCNC4"
"815","RP5-1074L1.1"
"816","RBM15"
"817","SLC16A4"
"818","RP5-1074L1.4"
"819","LAMTOR5"
"820","RP11-284N8.3"
"821","KCNA3"
"822","CD53"
"823","RP11-96K19.2"
"824","LRIF1"
"825","RP11-96K19.5"
"826","DRAM2"
"827","CEPT1"
"828","RP5-1180E21.4"
"829","RP5-1180E21.5"
"830","DENND2D"
"831","CHI3L2"
"832","PIFO"
"833","OVGP1"
"834","WDR77"
"835","ATP5F1"
"836","C1orf162"
"837","TMIGD3"
"838","ADORA3"
"839","RAP1A"
"840","FAM212B"
"841","DDX20"
"842","KCND3"
"843","CTTNBP2NL"
"844","WNT2B"
"845","ST7L"
"846","CAPZA1"
"847","MOV10"
"848","RP11-426L16.3"
"849","RHOC"
"850","PPM1J"
"851","SLC16A1"
"852","SLC16A1-AS1"
"853","RP11-31F15.2"
"854","LRIG2"
"855","MAGI3"
"856","PHTF1"
"857","RSBN1"
"858","PTPN22"
"859","AP4B1-AS1"
"860","BCL2L15"
"861","AP4B1"
"862","DCLRE1B"
"863","HIPK1-AS1"
"864","HIPK1"
"865","OLFML3"
"866","TRIM33"
"867","BCAS2"
"868","DENND2C"
"869","AMPD1"
"870","NRAS"
"871","CSDE1"
"872","SIKE1"
"873","TSPAN2"
"874","RP4-666F24.3"
"875","VANGL1"
"876","SLC22A15"
"877","ATP1A1"
"878","RP5-1086K13.1"
"879","CD58"
"880","IGSF3"
"881","CD2"
"882","PTGFRN"
"883","CD101"
"884","TTF2"
"885","TRIM45"
"886","RP11-188D8.1"
"887","MAN1A2"
"888","FAM46C"
"889","GDAP2"
"890","WDR3"
"891","SPAG17"
"892","WARS2"
"893","RP11-418J17.1"
"894","ZNF697"
"895","PHGDH"
"896","REG4"
"897","NOTCH2"
"898","SEC22B"
"899","AC253572.1"
"900","NBPF26"
"901","LINC00623"
"902","FCGR1B"
"903","FAM72B"
"904","SRGAP2C"
"905","RP11-344P13.6"
"906","RP11-403I13.5"
"907","RP11-403I13.7"
"908","FAM72C"
"909","RP11-14N7.2"
"910","RP11-763B22.4"
"911","NBPF15"
"912","SRGAP2B"
"913","FAM72D"
"914","AC241585.2"
"915","CH17-373J23.1"
"916","RP11-89F3.2"
"917","NBPF20"
"918","GPR89A"
"919","CD160"
"920","RNF115"
"921","POLR3C"
"922","NUDT17"
"923","PIAS3"
"924","ANKRD35"
"925","ITGA10"
"926","PEX11B"
"927","RBM8A"
"928","RP11-315I20.1"
"929","LIX1L"
"930","ANKRD34A"
"931","POLR3GL"
"932","TXNIP"
"933","NBPF10"
"934","NOTCH2NL"
"935","CH17-353B19.1"
"936","NBPF12"
"937","PRKAB2"
"938","RP11-337C18.8"
"939","FMO5"
"940","CHD1L"
"941","BCL9"
"942","ACP6"
"943","GPR89B"
"944","XXyac-YX155B6.7"
"945","NBPF11"
"946","XXyac-YX155B6.5"
"947","LINC01138"
"948","RP11-495P10.1"
"949","AC245100.1"
"950","PPIAL4G"
"951","NBPF14"
"952","PDE4DIP"
"953","NBPF9"
"954","CH17-189H20.1"
"955","RP11-326G21.1"
"956","NBPF19"
"957","LINC00869"
"958","FAM231D"
"959","FCGR1A"
"960","HIST2H2BF"
"961","HIST2H2BE"
"962","RP11-196G18.24"
"963","HIST2H4B"
"964","RP11-196G18.23"
"965","HIST2H2AC"
"966","HIST2H2AB"
"967","BOLA1"
"968","SV2A"
"969","SF3B4"
"970","MTMR11"
"971","OTUD7B"
"972","VPS45"
"973","PLEKHO1"
"974","ANP32E"
"975","APH1A"
"976","C1orf54"
"977","CIART"
"978","MRPS21"
"979","PRPF3"
"980","RPRD2"
"981","TARS2"
"982","ECM1"
"983","FALEC"
"984","ADAMTSL4"
"985","MCL1"
"986","ENSA"
"987","GOLPH3L"
"988","HORMAD1"
"989","CTSS"
"990","CTSK"
"991","ARNT"
"992","SETDB1"
"993","CERS2"
"994","FAM63A"
"995","PRUNE"
"996","BNIPL"
"997","C1orf56"
"998","CDC42SE1"
"999","MLLT11"
"1000","GABPB2"
"1001","SEMA6C"
"1002","TNFAIP8L2"
"1003","SCNM1"
"1004","LYSMD1"
"1005","VPS72"
"1006","PIP5K1A"
"1007","PSMD4"
"1008","RP11-126K1.2"
"1009","ZNF687"
"1010","PI4KB"
"1011","RFX5"
"1012","RP11-126K1.6"
"1013","SELENBP1"
"1014","PSMB4"
"1015","POGZ"
"1016","TUFT1"
"1017","SNX27"
"1018","MRPL9"
"1019","OAZ3"
"1020","TDRKH"
"1021","RP11-98D18.9"
"1022","RORC"
"1023","C2CD4D"
"1024","THEM4"
"1025","S100A10"
"1026","S100A11"
"1027","SPRR2F"
"1028","S100A9"
"1029","S100A12"
"1030","S100A8"
"1031","S100A6"
"1032","S100A5"
"1033","S100A4"
"1034","S100A3"
"1035","S100A2"
"1036","S100A16"
"1037","S100A13"
"1038","S100A1"
"1039","RP1-178F15.4"
"1040","CHTOP"
"1041","SNAPIN"
"1042","ILF2"
"1043","INTS3"
"1044","SLC27A3"
"1045","GATAD2B"
"1046","DENND4B"
"1047","CRTC2"
"1048","SLC39A1"
"1049","RP11-422P24.12"
"1050","CREB3L4"
"1051","JTB"
"1052","RP11-422P24.11"
"1053","RAB13"
"1054","RPS27"
"1055","TPM3"
"1056","C1orf43"
"1057","UBAP2L"
"1058","HAX1"
"1059","AQP10"
"1060","ATP8B2"
"1061","RP11-350G8.5"
"1062","IL6R"
"1063","UBE2Q1"
"1064","ADAR"
"1065","KCNN3"
"1066","PMVK"
"1067","RP11-307C12.13"
"1068","PBXIP1"
"1069","PYGO2"
"1070","RP11-307C12.12"
"1071","SHC1"
"1072","CKS1B"
"1073","FLAD1"
"1074","ZBTB7B"
"1075","RP11-307C12.11"
"1076","ADAM15"
"1077","EFNA4"
"1078","EFNA3"
"1079","EFNA1"
"1080","SLC50A1"
"1081","DPM3"
"1082","KRTCAP2"
"1083","TRIM46"
"1084","MUC1"
"1085","THBS3"
"1086","MTX1"
"1087","GBA"
"1088","FAM189B"
"1089","SCAMP3"
"1090","CLK2"
"1091","HCN3"
"1092","PKLR"
"1093","FDPS"
"1094","RUSC1-AS1"
"1095","RUSC1"
"1096","ASH1L"
"1097","ASH1L-AS1"
"1098","MSTO1"
"1099","YY1AP1"
"1100","DAP3"
"1101","GON4L"
"1102","SYT11"
"1103","RIT1"
"1104","KIAA0907"
"1105","ARHGEF2"
"1106","RP11-336K24.12"
"1107","SSR2"
"1108","UBQLN4"
"1109","LAMTOR2"
"1110","RAB25"
"1111","MEX3A"
"1112","LMNA"
"1113","SEMA4A"
"1114","SLC25A44"
"1115","PMF1"
"1116","BGLAP"
"1117","PAQR6"
"1118","SMG5"
"1119","TMEM79"
"1120","GLMP"
"1121","CCT3"
"1122","TSACC"
"1123","C1orf61"
"1124","MEF2D"
"1125","IQGAP3"
"1126","TTC24"
"1127","APOA1BP"
"1128","GPATCH4"
"1129","AL365181.2"
"1130","ISG20L2"
"1131","RRNAD1"
"1132","MRPL24"
"1133","HDGF"
"1134","PRCC"
"1135","SH2D2A"
"1136","NTRK1"
"1137","PEAR1"
"1138","ARHGEF11"
"1139","ETV3"
"1140","RP11-71G12.1"
"1141","RP11-85G21.3"
"1142","FCRL5"
"1143","FCRL3"
"1144","FCRL2"
"1145","FCRL1"
"1146","CD1D"
"1147","RP11-404O13.5"
"1148","CD1A"
"1149","CD1C"
"1150","CD1B"
"1151","CD1E"
"1152","SPTA1"
"1153","MNDA"
"1154","PYHIN1"
"1155","IFI16"
"1156","AIM2"
"1157","ACKR1"
"1158","FCER1A"
"1159","DUSP23"
"1160","FCRL6"
"1161","SLAMF8"
"1162","C1orf204"
"1163","VSIG8"
"1164","TAGLN2"
"1165","LINC01133"
"1166","PIGM"
"1167","IGSF8"
